VARID	VARCODE	VARDESCR_EN	VARDESCR	VARUNIDAD	VARFUENTE	VARMODULO	FUENTELINK
84	tmean_2	Temperatura media de febrero	Temp prom 2	°C	Worldclim	Bioclimatica	http://worldclim.org
85	tmean_3	Temperatura media de marzo	Temp prom 3	°C	Worldclim	Bioclimatica	http://worldclim.org
86	tmean_4	Temperatura media de abril	Temp prom 4	°C	Worldclim	Bioclimatica	http://worldclim.org
87	tmean_5	Temperatura media de mayo	Temp prom 5	°C	Worldclim	Bioclimatica	http://worldclim.org
88	tmean_6	Temperatura media de junio	Temp prom 6	°C	Worldclim	Bioclimatica	http://worldclim.org
89	tmean_7	Temperatura media de julio	Temp prom 7	°C	Worldclim	Bioclimatica	http://worldclim.org
90	tmean_8	Temperatura media de agosto	Temp prom 8	°C	Worldclim	Bioclimatica	http://worldclim.org
91	tmean_9	Temperatura media de septiembre	Temp prom 9	°C	Worldclim	Bioclimatica	http://worldclim.org
81	tmean_10	Temperatura media de octubre	Temp prom 10	°C	Worldclim	Bioclimatica	http://worldclim.org
82	tmean_11	Temperatura media de noviembre	Temp prom 11	°C	Worldclim	Bioclimatica	http://worldclim.org
83	tmean_12	Temperatura media de diciembre	Temp prom 12	°C	Worldclim	Bioclimatica	http://worldclim.org
92	tmin_1	Temperatura minima de enero	Temp min 1	°C	Worldclim	Bioclimatica	http://worldclim.org
96	tmin_2	Temperatura minima de febrero	Temp min 2	°C	Worldclim	Bioclimatica	http://worldclim.org
97	tmin_3	Temperatura minima de marzo	Temp min 3	°C	Worldclim	Bioclimatica	http://worldclim.org
98	tmin_4	Temperatura minima de abril	Temp min 4	°C	Worldclim	Bioclimatica	http://worldclim.org
99	tmin_5	Temperatura minima de mayo	Temp min 5	°C	Worldclim	Bioclimatica	http://worldclim.org
100	tmin_6	Temperatura minima de junio	Temp min 6	°C	Worldclim	Bioclimatica	http://worldclim.org
101	tmin_7	Temperatura minima de julio	Temp min 7	°C	Worldclim	Bioclimatica	http://worldclim.org
102	tmin_8	Temperatura minima de agosto	Temp min 8	°C	Worldclim	Bioclimatica	http://worldclim.org
103	tmin_9	Temperatura minima de septiembre	Temp min 9	°C	Worldclim	Bioclimatica	http://worldclim.org
93	tmin_10	Temperatura minima de octubre	Temp min 10	°C	Worldclim	Bioclimatica	http://worldclim.org
94	tmin_11	Temperatura minima de noviembre	Temp min 11	°C	Worldclim	Bioclimatica	http://worldclim.org
95	tmin_12	Temperatura minima de diciembre	Temp min 12	°C	Worldclim	Bioclimatica	http://worldclim.org
