INSTCODE	ACCENUMB	COLLNUMB	COLLCODE	COLLNAME	COLLINSTADDRESS	COLLMISSID	GENUS	SPECIES	SPAUTHOR	SUBTAXA	SUBTAUTHOR	CROPNAME	ACCENAME	ACQDATE	ORIGCTY	NAMECTY	ADM1	ADM2	ADM3	ADM4	COLLSITE	DECLATITUDE	LATITUDE	DECLONGITUDE	LONGITUDE	COORDUNCERT	COORDDATUM	GEOREFMETH	ELEVATION	COLLDATE	BREDCODE	BREDNAME	SAMPSTAT	ANCEST	COLLSRC	DONORCODE	DONORNAME	DONORNUMB	OTHERNUMB	DUPLSITE	DUPLINSTNAME	STORAGE	MLSSTAT	REMARKS
NA	11541	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Yucatan	Tekax	NA	NA	NA	19.69138889	194129N	-89.11	0890636W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	11572	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Quintana Roo	Jose Maria Morelos	NA	NA	NA	19.28166667	191654N	-88.75833333	0884530W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	11615	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Campeche	Hopelch?n	NA	NA	NA	19.195	191142N	-89.17333333	0891024W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1166	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Puebla	Cuetzalan del Progreso	NA	NA	NA	20.02888889	200144N	-97.545	0973242W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1186	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Oaxaca	Santa Mar?a Chimalapa	NA	NA	NA	16.96694444	165801N	-94.625	0943730W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228147005	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228151016	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228152228	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228166033	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228166707	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228188028	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228209626	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228252040	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228253557	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228258963	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228266791	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228266963	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228347455	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228364460	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Chicontepec	NA	NA	NA	21.09194444	210531N	-97.95888889	0975732W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228367054	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228369391	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228375861	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Huatusco	NA	NA	NA	19.16527778	190955N	-96.96055556	0965738W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228380897	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228383437	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228391892	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228430507	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228450110	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228462658	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228466107	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228471672	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228474007	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228480622	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228484666	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228490066	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228493592	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228496567	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228535874	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228542309	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228544322	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228576310	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228593659	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228598749	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1228605815	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Jalcomulco	NA	NA	NA	19.33305556	191959N	-96.66666667	0964000W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	124	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Yucatan	Valladolid	NA	NA	NA	20.59888889	203556N	-88.16222222	0880944W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	12424	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Chiapas	Ocosingo	NA	NA	NA	16.79555556	164744N	-90.88055556	0905250W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1253	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Chiapas	Ocosingo	NA	NA	NA	16.93222222	165556N	-91.25055556	091152.W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	12558	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Chiapas	Ocosingo	NA	NA	NA	16.80361111	164813N	-90.89083333	0905327W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1257606805	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Chiapas	El Bosque	NA	NA	NA	17.09083333	170527N	-92.70166667	0924206W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1257607568	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Chiapas	Ocozocoautla de Espinosa	NA	NA	NA	16.89638889	165347N	-93.43527778	0932607W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259102744	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Chiapas	Villaflores	NA	NA	NA	16.33027778	161949N	-93.61416667	0933651W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259380700	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Yucatan	Tiziman	NA	NA	NA	21.44166667	212630N	-87.70666667	0874224W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259705771	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Jalisco	La Huerta	NA	NA	NA	19.50638889	193023N	-105.0508333	1050303W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259705850	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Nayarit	Tepic	NA	NA	NA	21.45	212700N	-104.9330556	1045559W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259706169	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Nayarit	Xalisco	NA	NA	NA	21.38333333	212300N	-104.9830556	1045859W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259706188	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Oaxaca	Dist. Ixtlan	NA	NA	NA	17.72333333	174324N	-96.325	0961930W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259706327	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Nayarit	Tepic	NA	NA	NA	21.42861111	212543N	-104.9080556	1045429W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259706491	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Sonora	San Pedro de la Cueva	NA	NA	NA	29.16666667	291000N	-109.8830556	1095259W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259706506	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Nayarit	San Blas	NA	NA	NA	21.35	212100N	-105.2330556	1051359W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259706777	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Campeche	Champotan	NA	NA	NA	18.93305556	185559N	-90.34972222	0902059W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259706853	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	Tierra Blanca	NA	NA	NA	18.75	184500N	-96.46638889	0962759W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259707328	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Nayarit	Tepic	NA	NA	NA	21.5125	213045N	-105.0019444	1050007W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259707602	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Veracruz de ignacio de la llave	San Andres Tuxtla	NA	NA	NA	18.56638889	183359N	-95.06638889	0950359W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259707893	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Oaxaca	Dist. Tlacolula	NA	NA	NA	17.05	170300N	-96.63305556	0963759W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259708134	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Campeche	Carmen	NA	NA	NA	18.53305556	183159N	-91.13305556	0910759W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259708347	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Guerrero	Acapulco de Juarez	NA	NA	NA	16.85	165100N	-99.91666667	0995500W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259708653	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Yucatan	Muna	NA	NA	NA	20.48305556	202859N	-89.68305556	0894059W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259708951	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Nayarit	Tepic	NA	NA	NA	21.43222222	212556N	-104.9569444	1045725W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259709059	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Chiapas	La Concordia	NA	NA	NA	15.76638889	154559N	-92.95472222	0925717W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259709358	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Yucatan	Conkal	NA	NA	NA	21.11666667	210700N	-89.61666667	0893700W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259709678	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Campeche	Calkina­	NA	NA	NA	20.58305556	203459N	-90.41638889	0902459W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259709882	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Campeche	Champotan	NA	NA	NA	18.45	182700N	-90.08305556	0900459W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1259709892	NA	NA	NA	NA	NA	Melothria	pendula	L.	NA	NA	NA	NA	NA	MEX	México	Oaxaca	Dist. Juchitan	NA	NA	NA	16.96638889	165759N	-94.61638889	0943659W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
